Danareksa Melati Platinum Dollar AS (DANMPAS),DANMPAS:IJ,Open-End Fund,Aggregate Bond USD Focused,http://www.bloomberg.com/quote/DANMPAS:IJ
Danareksa Melati Premium Dollar (DANPRMD),DANPRMD:IJ,Open-End Fund,Government Long,http://www.bloomberg.com/quote/DANPRMD:IJ
Danareksa Proteksi Dinamis Fleksibel (DANPFLK),DANPFLK:IJ,Open-End Fund,Government Intermediate,http://www.bloomberg.com/quote/DANPFLK:IJ
Danareksa Reksa Dana Seruni Pasar Uang II (DANSPU2),DANSPU2:IJ,Open-End Fund,General (Non-US),http://www.bloomberg.com/quote/DANSPU2:IJ
Danareksa Reksa Dana Seruni Pasar Uang III (DANSPU3),DANSPU3:IJ,Open-End Fund,General (Non-US),http://www.bloomberg.com/quote/DANSPU3:IJ
Danareksa Syariah Berimbang (DANBERI),DANBERI:IJ,Open-End Fund,Moderate Allocation,http://www.bloomberg.com/quote/DANBERI:IJ
Dire Ciptadana Properti Ritel Indonesia (XCID),XCID:IJ,Closed-End Fund,Physical Assets and Securities,http://www.bloomberg.com/quote/XCID:IJ
Eastspring Investments IDR High Grade (RKDEIHG),RKDEIHG:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/RKDEIHG:IJ
Eastspring Investments Value Discovery Fund (RDESIVD),RDESIVD:IJ,Open-End Fund,Foreign Growth,http://www.bloomberg.com/quote/RDESIVD:IJ
Eastspring Investments Yield Discovery Fund (RDESIYD),RDESIYD:IJ,Open-End Fund,Foreign Aggregate Bond,http://www.bloomberg.com/quote/RDESIYD:IJ
Emco Growth (MAKGRWT),MAKGRWT:IJ,Open-End Fund,Growth Broad Market,http://www.bloomberg.com/quote/MAKGRWT:IJ
Emco Mantap (MAKMANT),MAKMANT:IJ,Open-End Fund,Blend Large Cap,http://www.bloomberg.com/quote/MAKMANT:IJ
Equator Dana Prestasi (MAHPRES),MAHPRES:IJ,Closed-End Fund,Aggregate Bond Long,http://www.bloomberg.com/quote/MAHPRES:IJ
Equity Dana Pasti (EQUPAST),EQUPAST:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/EQUPAST:IJ
Equity Development Securities - Dana Premier (EQUPREM),EQUPREM:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/EQUPREM:IJ
Equity Reksa Dana Prima (EQUPRIM),EQUPRIM:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/EQUPRIM:IJ
First State Indoequity Value Select Fund (FSINEQV),FSINEQV:IJ,Open-End Fund,Value Broad Market,http://www.bloomberg.com/quote/FSINEQV:IJ
First State Indoequity PEKA Fund (FSIPEKA),FSIPEKA:IJ,Open-End Fund,Blend Large Cap,http://www.bloomberg.com/quote/FSIPEKA:IJ
First State IndoEquity Dividend Yield Fund (FSIEQDY),FSIEQDY:IJ,Open-End Fund,Blend Broad Market,http://www.bloomberg.com/quote/FSIEQDY:IJ
First State IndoEquity Sectoral Fund (FSISECT),FSISECT:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/FSISECT:IJ
First State IndoEquity High Conviction Fund (FSIEHCO),FSIEHCO:IJ,Open-End Fund,Foreign Growth,http://www.bloomberg.com/quote/FSIEHCO:IJ
First State Indonesian Balanced Fund (FSIBALA),FSIBALA:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/FSIBALA:IJ
